set_id,sample_id,replicate,type,dilution_id,value
1,1,1,N,0,56266
1,2,1,D,1,3022
1,3,1,D,2,8524
1,4,1,D,3,8775
1,5,1,D,4,22630
1,6,1,D,5,17666
1,7,1,D,6,55519
1,8,1,B,0,567
2,1,1,N,0,179865
2,2,1,D,1,7220
2,3,1,D,2,5730
2,4,1,D,3,15035
2,5,1,D,4,15557
2,6,1,D,5,43380
2,7,1,D,6,42213
2,8,1,B,0,582
3,1,1,N,0,45191
3,2,1,D,1,3766
3,3,1,D,2,2824
3,4,1,D,3,6904
3,5,1,D,4,6595
3,6,1,D,5,20473
3,7,1,D,6,13311
3,8,1,B,0,578
4,1,1,N,0,43940
4,2,1,D,1,3311
4,3,1,D,2,2017
4,4,1,D,3,6696
4,5,1,D,4,7434
4,6,1,D,5,18346
4,7,1,D,6,13848
4,8,1,B,0,646
5,1,1,N,0,115497
5,2,1,D,1,8822
5,3,1,D,2,5323
5,4,1,D,3,18427
5,5,1,D,4,16420
5,6,1,D,5,44241
5,7,1,D,6,50542
5,8,1,B,0,512
6,1,1,N,0,61355
6,2,1,D,1,4620
6,3,1,D,2,5047
6,4,1,D,3,10206
6,5,1,D,4,13362
6,6,1,D,5,27772
6,7,1,D,6,26303
6,8,1,B,0,578
